id,alpha
201,3.2601046879202507
202,4.309570763036047
203,4.661348184795764
204,3.0426274890805765
205,3.864315427126881
206,3.513751515148284
207,4.411430170515207
208,4.0910510177240065
209,3.385867997209356
210,3.184854504004063
211,4.580640914610026
212,3.8705362366808163
213,4.037310908800487
214,4.119790465295237
215,4.098946755637532
216,3.6260188773401816
217,3.9329770552713152
218,4.11292955089332
219,4.143296945893736
220,3.7479773240552627
221,4.551327711957169
222,3.5600557687506744
223,3.894537780311143
224,3.3526443197070424
225,4.711459835693188
226,3.8267806871123153
227,2.4320531829590224
228,2.8320297368716627
229,4.467794259368137
230,3.9740688825327415
231,2.651152957697128
232,3.789774729137565
233,2.965595444792492
234,3.846281583773275
235,3.201671959652389
236,3.959032855694821
237,3.9452361706828114
238,3.9382084289264916
239,3.822142359351896
240,3.0468727794263315
241,3.955267426217875
242,3.16031749470498
243,3.0456296371768072
244,3.2408777952964494
245,3.897711491206469
246,4.539767115340018
247,3.8232152216024056
248,4.070378933588067
249,3.7366602762339274
250,4.020060632015755
251,3.7049134796042327
252,4.052381227531309
253,4.353137936136926
254,3.512333448290877
255,3.815728326761548
256,3.9410780039717808
257,3.3060432268509867
258,4.439301609971975
259,4.380995729078314
260,3.4398843361999103
261,3.5001980427785577
262,4.327009329209699
263,4.664245789019717
264,3.853302064840352
265,3.966853034712729
266,4.636105136079629
267,4.633359379778226
268,4.429324503509412
269,3.6726178823840523
270,4.33687941464509
271,4.435996146550568
272,3.101334382079771
273,3.5183881455051926
274,4.4228814725136765
275,3.9083473772788233
276,3.9286842394290487
277,3.5858905187634873
278,4.089575162762124
279,4.418964815181433
280,3.3708570823225643
281,3.2709148694825987
282,3.133596572717606
283,3.8865146015892345
284,3.6937427305035526
285,4.019892520251378
286,3.475151124741821
287,3.9525721361319524
288,3.9499098389228497
289,4.0442162073855545
290,4.363308521662093
291,3.7120206431902005
292,4.1647514957285825
293,4.3441484136714354
294,4.044275033628476
295,4.081164192128339
296,3.679600732857684
297,3.505400664812853
298,3.9131034637995232
299,3.842522453765795
300,3.2758891797020113
301,3.810394509928355
302,3.78054975271714
303,4.158438439806078
304,3.974984607503679
305,3.590554623608293
306,3.7340346727165286
307,3.5112634130214775
308,3.766676620737869
309,4.3446579142646184
310,4.030346529865269
311,4.035495105198367
312,3.583726514823453
313,2.9648216520314263
314,3.6785015253214626
315,4.714236344416042
316,3.8929071065689262
317,4.128845834910808
318,4.172421557684968
319,4.376876851756914
320,4.206783383006481
321,3.400820845194825
322,3.602998730785189
323,3.972428326173437
324,4.0607427641300635
325,3.918239821734146
326,4.102697786229173
327,3.6253915137498756
328,3.8680057629846925
329,4.016380189066878
330,3.740495517128881
331,3.846038169446193
332,3.307627296839823
333,3.5039950644259585
334,4.129679145731228
335,4.221421760709684
336,2.715479805050699
